date_key,full_date,day,month_number,month_name,year,quarter,quarter_label,week_number,day_name,day_of_week,is_weekend,is_holiday,half_year
20230101,2023-01-01,1,1,January,2023,1,Q1 2023,52,Sunday,7,1,0,H1 2023
20230102,2023-01-02,2,1,January,2023,1,Q1 2023,1,Monday,1,0,0,H1 2023
20230103,2023-01-03,3,1,January,2023,1,Q1 2023,1,Tuesday,2,0,0,H1 2023
20230104,2023-01-04,4,1,January,2023,1,Q1 2023,1,Wednesday,3,0,0,H1 2023
20230105,2023-01-05,5,1,January,2023,1,Q1 2023,1,Thursday,4,0,0,H1 2023
20230106,2023-01-06,6,1,January,2023,1,Q1 2023,1,Friday,5,0,0,H1 2023
20230107,2023-01-07,7,1,January,2023,1,Q1 2023,1,Saturday,6,1,0,H1 2023
20230108,2023-01-08,8,1,January,2023,1,Q1 2023,1,Sunday,7,1,0,H1 2023
20230109,2023-01-09,9,1,January,2023,1,Q1 2023,2,Monday,1,0,0,H1 2023
20230110,2023-01-10,10,1,January,2023,1,Q1 2023,2,Tuesday,2,0,0,H1 2023
20230111,2023-01-11,11,1,January,2023,1,Q1 2023,2,Wednesday,3,0,0,H1 2023
20230112,2023-01-12,12,1,January,2023,1,Q1 2023,2,Thursday,4,0,0,H1 2023
20230113,2023-01-13,13,1,January,2023,1,Q1 2023,2,Friday,5,0,0,H1 2023
20230114,2023-01-14,14,1,January,2023,1,Q1 2023,2,Saturday,6,1,0,H1 2023
20230115,2023-01-15,15,1,January,2023,1,Q1 2023,2,Sunday,7,1,0,H1 2023
20230116,2023-01-16,16,1,January,2023,1,Q1 2023,3,Monday,1,0,0,H1 2023
20230117,2023-01-17,17,1,January,2023,1,Q1 2023,3,Tuesday,2,0,0,H1 2023
20230118,2023-01-18,18,1,January,2023,1,Q1 2023,3,Wednesday,3,0,0,H1 2023
20230119,2023-01-19,19,1,January,2023,1,Q1 2023,3,Thursday,4,0,0,H1 2023
20230120,2023-01-20,20,1,January,2023,1,Q1 2023,3,Friday,5,0,0,H1 2023
20230121,2023-01-21,21,1,January,2023,1,Q1 2023,3,Saturday,6,1,0,H1 2023
20230122,2023-01-22,22,1,January,2023,1,Q1 2023,3,Sunday,7,1,0,H1 2023
20230123,2023-01-23,23,1,January,2023,1,Q1 2023,4,Monday,1,0,0,H1 2023
20230124,2023-01-24,24,1,January,2023,1,Q1 2023,4,Tuesday,2,0,0,H1 2023
20230125,2023-01-25,25,1,January,2023,1,Q1 2023,4,Wednesday,3,0,0,H1 2023
20230126,2023-01-26,26,1,January,2023,1,Q1 2023,4,Thursday,4,0,1,H1 2023
20230127,2023-01-27,27,1,January,2023,1,Q1 2023,4,Friday,5,0,0,H1 2023
20230128,2023-01-28,28,1,January,2023,1,Q1 2023,4,Saturday,6,1,0,H1 2023
20230129,2023-01-29,29,1,January,2023,1,Q1 2023,4,Sunday,7,1,0,H1 2023
20230130,2023-01-30,30,1,January,2023,1,Q1 2023,5,Monday,1,0,0,H1 2023
20230131,2023-01-31,31,1,January,2023,1,Q1 2023,5,Tuesday,2,0,0,H1 2023
20230201,2023-02-01,1,2,February,2023,1,Q1 2023,5,Wednesday,3,0,0,H1 2023
20230202,2023-02-02,2,2,February,2023,1,Q1 2023,5,Thursday,4,0,0,H1 2023
20230203,2023-02-03,3,2,February,2023,1,Q1 2023,5,Friday,5,0,0,H1 2023
20230204,2023-02-04,4,2,February,2023,1,Q1 2023,5,Saturday,6,1,0,H1 2023
20230205,2023-02-05,5,2,February,2023,1,Q1 2023,5,Sunday,7,1,0,H1 2023
20230206,2023-02-06,6,2,February,2023,1,Q1 2023,6,Monday,1,0,0,H1 2023
20230207,2023-02-07,7,2,February,2023,1,Q1 2023,6,Tuesday,2,0,0,H1 2023
20230208,2023-02-08,8,2,February,2023,1,Q1 2023,6,Wednesday,3,0,0,H1 2023
20230209,2023-02-09,9,2,February,2023,1,Q1 2023,6,Thursday,4,0,0,H1 2023
20230210,2023-02-10,10,2,February,2023,1,Q1 2023,6,Friday,5,0,0,H1 2023
20230211,2023-02-11,11,2,February,2023,1,Q1 2023,6,Saturday,6,1,0,H1 2023
20230212,2023-02-12,12,2,February,2023,1,Q1 2023,6,Sunday,7,1,0,H1 2023
20230213,2023-02-13,13,2,February,2023,1,Q1 2023,7,Monday,1,0,0,H1 2023
20230214,2023-02-14,14,2,February,2023,1,Q1 2023,7,Tuesday,2,0,0,H1 2023
20230215,2023-02-15,15,2,February,2023,1,Q1 2023,7,Wednesday,3,0,0,H1 2023
20230216,2023-02-16,16,2,February,2023,1,Q1 2023,7,Thursday,4,0,0,H1 2023
20230217,2023-02-17,17,2,February,2023,1,Q1 2023,7,Friday,5,0,0,H1 2023
20230218,2023-02-18,18,2,February,2023,1,Q1 2023,7,Saturday,6,1,0,H1 2023
20230219,2023-02-19,19,2,February,2023,1,Q1 2023,7,Sunday,7,1,0,H1 2023
20230220,2023-02-20,20,2,February,2023,1,Q1 2023,8,Monday,1,0,0,H1 2023
20230221,2023-02-21,21,2,February,2023,1,Q1 2023,8,Tuesday,2,0,0,H1 2023
20230222,2023-02-22,22,2,February,2023,1,Q1 2023,8,Wednesday,3,0,0,H1 2023
20230223,2023-02-23,23,2,February,2023,1,Q1 2023,8,Thursday,4,0,0,H1 2023
20230224,2023-02-24,24,2,February,2023,1,Q1 2023,8,Friday,5,0,0,H1 2023
20230225,2023-02-25,25,2,February,2023,1,Q1 2023,8,Saturday,6,1,0,H1 2023
20230226,2023-02-26,26,2,February,2023,1,Q1 2023,8,Sunday,7,1,0,H1 2023
20230227,2023-02-27,27,2,February,2023,1,Q1 2023,9,Monday,1,0,0,H1 2023
20230228,2023-02-28,28,2,February,2023,1,Q1 2023,9,Tuesday,2,0,0,H1 2023
20230301,2023-03-01,1,3,March,2023,1,Q1 2023,9,Wednesday,3,0,0,H1 2023
20230302,2023-03-02,2,3,March,2023,1,Q1 2023,9,Thursday,4,0,0,H1 2023
20230303,2023-03-03,3,3,March,2023,1,Q1 2023,9,Friday,5,0,0,H1 2023
20230304,2023-03-04,4,3,March,2023,1,Q1 2023,9,Saturday,6,1,0,H1 2023
20230305,2023-03-05,5,3,March,2023,1,Q1 2023,9,Sunday,7,1,0,H1 2023
20230306,2023-03-06,6,3,March,2023,1,Q1 2023,10,Monday,1,0,0,H1 2023
20230307,2023-03-07,7,3,March,2023,1,Q1 2023,10,Tuesday,2,0,0,H1 2023
20230308,2023-03-08,8,3,March,2023,1,Q1 2023,10,Wednesday,3,0,0,H1 2023
20230309,2023-03-09,9,3,March,2023,1,Q1 2023,10,Thursday,4,0,0,H1 2023
20230310,2023-03-10,10,3,March,2023,1,Q1 2023,10,Friday,5,0,0,H1 2023
20230311,2023-03-11,11,3,March,2023,1,Q1 2023,10,Saturday,6,1,0,H1 2023
20230312,2023-03-12,12,3,March,2023,1,Q1 2023,10,Sunday,7,1,0,H1 2023
20230313,2023-03-13,13,3,March,2023,1,Q1 2023,11,Monday,1,0,0,H1 2023
20230314,2023-03-14,14,3,March,2023,1,Q1 2023,11,Tuesday,2,0,0,H1 2023
20230315,2023-03-15,15,3,March,2023,1,Q1 2023,11,Wednesday,3,0,0,H1 2023
20230316,2023-03-16,16,3,March,2023,1,Q1 2023,11,Thursday,4,0,0,H1 2023
20230317,2023-03-17,17,3,March,2023,1,Q1 2023,11,Friday,5,0,0,H1 2023
20230318,2023-03-18,18,3,March,2023,1,Q1 2023,11,Saturday,6,1,0,H1 2023
20230319,2023-03-19,19,3,March,2023,1,Q1 2023,11,Sunday,7,1,0,H1 2023
20230320,2023-03-20,20,3,March,2023,1,Q1 2023,12,Monday,1,0,0,H1 2023
20230321,2023-03-21,21,3,March,2023,1,Q1 2023,12,Tuesday,2,0,0,H1 2023
20230322,2023-03-22,22,3,March,2023,1,Q1 2023,12,Wednesday,3,0,0,H1 2023
20230323,2023-03-23,23,3,March,2023,1,Q1 2023,12,Thursday,4,0,0,H1 2023
20230324,2023-03-24,24,3,March,2023,1,Q1 2023,12,Friday,5,0,0,H1 2023
20230325,2023-03-25,25,3,March,2023,1,Q1 2023,12,Saturday,6,1,0,H1 2023
20230326,2023-03-26,26,3,March,2023,1,Q1 2023,12,Sunday,7,1,0,H1 2023
20230327,2023-03-27,27,3,March,2023,1,Q1 2023,13,Monday,1,0,0,H1 2023
20230328,2023-03-28,28,3,March,2023,1,Q1 2023,13,Tuesday,2,0,0,H1 2023
20230329,2023-03-29,29,3,March,2023,1,Q1 2023,13,Wednesday,3,0,0,H1 2023
20230330,2023-03-30,30,3,March,2023,1,Q1 2023,13,Thursday,4,0,0,H1 2023
20230331,2023-03-31,31,3,March,2023,1,Q1 2023,13,Friday,5,0,0,H1 2023
20230401,2023-04-01,1,4,April,2023,2,Q2 2023,13,Saturday,6,1,0,H1 2023
20230402,2023-04-02,2,4,April,2023,2,Q2 2023,13,Sunday,7,1,0,H1 2023
20230403,2023-04-03,3,4,April,2023,2,Q2 2023,14,Monday,1,0,0,H1 2023
20230404,2023-04-04,4,4,April,2023,2,Q2 2023,14,Tuesday,2,0,0,H1 2023
20230405,2023-04-05,5,4,April,2023,2,Q2 2023,14,Wednesday,3,0,0,H1 2023
20230406,2023-04-06,6,4,April,2023,2,Q2 2023,14,Thursday,4,0,0,H1 2023
20230407,2023-04-07,7,4,April,2023,2,Q2 2023,14,Friday,5,0,0,H1 2023
20230408,2023-04-08,8,4,April,2023,2,Q2 2023,14,Saturday,6,1,0,H1 2023
20230409,2023-04-09,9,4,April,2023,2,Q2 2023,14,Sunday,7,1,0,H1 2023
20230410,2023-04-10,10,4,April,2023,2,Q2 2023,15,Monday,1,0,0,H1 2023
20230411,2023-04-11,11,4,April,2023,2,Q2 2023,15,Tuesday,2,0,0,H1 2023
20230412,2023-04-12,12,4,April,2023,2,Q2 2023,15,Wednesday,3,0,0,H1 2023
20230413,2023-04-13,13,4,April,2023,2,Q2 2023,15,Thursday,4,0,0,H1 2023
20230414,2023-04-14,14,4,April,2023,2,Q2 2023,15,Friday,5,0,0,H1 2023
20230415,2023-04-15,15,4,April,2023,2,Q2 2023,15,Saturday,6,1,0,H1 2023
20230416,2023-04-16,16,4,April,2023,2,Q2 2023,15,Sunday,7,1,0,H1 2023
20230417,2023-04-17,17,4,April,2023,2,Q2 2023,16,Monday,1,0,0,H1 2023
20230418,2023-04-18,18,4,April,2023,2,Q2 2023,16,Tuesday,2,0,0,H1 2023
20230419,2023-04-19,19,4,April,2023,2,Q2 2023,16,Wednesday,3,0,0,H1 2023
20230420,2023-04-20,20,4,April,2023,2,Q2 2023,16,Thursday,4,0,0,H1 2023
20230421,2023-04-21,21,4,April,2023,2,Q2 2023,16,Friday,5,0,0,H1 2023
20230422,2023-04-22,22,4,April,2023,2,Q2 2023,16,Saturday,6,1,0,H1 2023
20230423,2023-04-23,23,4,April,2023,2,Q2 2023,16,Sunday,7,1,0,H1 2023
20230424,2023-04-24,24,4,April,2023,2,Q2 2023,17,Monday,1,0,0,H1 2023
20230425,2023-04-25,25,4,April,2023,2,Q2 2023,17,Tuesday,2,0,0,H1 2023
20230426,2023-04-26,26,4,April,2023,2,Q2 2023,17,Wednesday,3,0,0,H1 2023
20230427,2023-04-27,27,4,April,2023,2,Q2 2023,17,Thursday,4,0,0,H1 2023
20230428,2023-04-28,28,4,April,2023,2,Q2 2023,17,Friday,5,0,0,H1 2023
20230429,2023-04-29,29,4,April,2023,2,Q2 2023,17,Saturday,6,1,0,H1 2023
20230430,2023-04-30,30,4,April,2023,2,Q2 2023,17,Sunday,7,1,0,H1 2023
20230501,2023-05-01,1,5,May,2023,2,Q2 2023,18,Monday,1,0,0,H1 2023
20230502,2023-05-02,2,5,May,2023,2,Q2 2023,18,Tuesday,2,0,0,H1 2023
20230503,2023-05-03,3,5,May,2023,2,Q2 2023,18,Wednesday,3,0,0,H1 2023
20230504,2023-05-04,4,5,May,2023,2,Q2 2023,18,Thursday,4,0,0,H1 2023
20230505,2023-05-05,5,5,May,2023,2,Q2 2023,18,Friday,5,0,0,H1 2023
20230506,2023-05-06,6,5,May,2023,2,Q2 2023,18,Saturday,6,1,0,H1 2023
20230507,2023-05-07,7,5,May,2023,2,Q2 2023,18,Sunday,7,1,0,H1 2023
20230508,2023-05-08,8,5,May,2023,2,Q2 2023,19,Monday,1,0,0,H1 2023
20230509,2023-05-09,9,5,May,2023,2,Q2 2023,19,Tuesday,2,0,0,H1 2023
20230510,2023-05-10,10,5,May,2023,2,Q2 2023,19,Wednesday,3,0,0,H1 2023
20230511,2023-05-11,11,5,May,2023,2,Q2 2023,19,Thursday,4,0,0,H1 2023
20230512,2023-05-12,12,5,May,2023,2,Q2 2023,19,Friday,5,0,0,H1 2023
20230513,2023-05-13,13,5,May,2023,2,Q2 2023,19,Saturday,6,1,0,H1 2023
20230514,2023-05-14,14,5,May,2023,2,Q2 2023,19,Sunday,7,1,0,H1 2023
20230515,2023-05-15,15,5,May,2023,2,Q2 2023,20,Monday,1,0,0,H1 2023
20230516,2023-05-16,16,5,May,2023,2,Q2 2023,20,Tuesday,2,0,0,H1 2023
20230517,2023-05-17,17,5,May,2023,2,Q2 2023,20,Wednesday,3,0,0,H1 2023
20230518,2023-05-18,18,5,May,2023,2,Q2 2023,20,Thursday,4,0,0,H1 2023
20230519,2023-05-19,19,5,May,2023,2,Q2 2023,20,Friday,5,0,0,H1 2023
20230520,2023-05-20,20,5,May,2023,2,Q2 2023,20,Saturday,6,1,0,H1 2023
20230521,2023-05-21,21,5,May,2023,2,Q2 2023,20,Sunday,7,1,0,H1 2023
20230522,2023-05-22,22,5,May,2023,2,Q2 2023,21,Monday,1,0,0,H1 2023
20230523,2023-05-23,23,5,May,2023,2,Q2 2023,21,Tuesday,2,0,0,H1 2023
20230524,2023-05-24,24,5,May,2023,2,Q2 2023,21,Wednesday,3,0,0,H1 2023
20230525,2023-05-25,25,5,May,2023,2,Q2 2023,21,Thursday,4,0,0,H1 2023
20230526,2023-05-26,26,5,May,2023,2,Q2 2023,21,Friday,5,0,0,H1 2023
20230527,2023-05-27,27,5,May,2023,2,Q2 2023,21,Saturday,6,1,0,H1 2023
20230528,2023-05-28,28,5,May,2023,2,Q2 2023,21,Sunday,7,1,0,H1 2023
20230529,2023-05-29,29,5,May,2023,2,Q2 2023,22,Monday,1,0,0,H1 2023
20230530,2023-05-30,30,5,May,2023,2,Q2 2023,22,Tuesday,2,0,0,H1 2023
20230531,2023-05-31,31,5,May,2023,2,Q2 2023,22,Wednesday,3,0,0,H1 2023
20230601,2023-06-01,1,6,June,2023,2,Q2 2023,22,Thursday,4,0,0,H1 2023
20230602,2023-06-02,2,6,June,2023,2,Q2 2023,22,Friday,5,0,0,H1 2023
20230603,2023-06-03,3,6,June,2023,2,Q2 2023,22,Saturday,6,1,0,H1 2023
20230604,2023-06-04,4,6,June,2023,2,Q2 2023,22,Sunday,7,1,0,H1 2023
20230605,2023-06-05,5,6,June,2023,2,Q2 2023,23,Monday,1,0,0,H1 2023
20230606,2023-06-06,6,6,June,2023,2,Q2 2023,23,Tuesday,2,0,0,H1 2023
20230607,2023-06-07,7,6,June,2023,2,Q2 2023,23,Wednesday,3,0,0,H1 2023
20230608,2023-06-08,8,6,June,2023,2,Q2 2023,23,Thursday,4,0,0,H1 2023
20230609,2023-06-09,9,6,June,2023,2,Q2 2023,23,Friday,5,0,0,H1 2023
20230610,2023-06-10,10,6,June,2023,2,Q2 2023,23,Saturday,6,1,0,H1 2023
20230611,2023-06-11,11,6,June,2023,2,Q2 2023,23,Sunday,7,1,0,H1 2023
20230612,2023-06-12,12,6,June,2023,2,Q2 2023,24,Monday,1,0,0,H1 2023
20230613,2023-06-13,13,6,June,2023,2,Q2 2023,24,Tuesday,2,0,0,H1 2023
20230614,2023-06-14,14,6,June,2023,2,Q2 2023,24,Wednesday,3,0,0,H1 2023
20230615,2023-06-15,15,6,June,2023,2,Q2 2023,24,Thursday,4,0,0,H1 2023
20230616,2023-06-16,16,6,June,2023,2,Q2 2023,24,Friday,5,0,0,H1 2023
20230617,2023-06-17,17,6,June,2023,2,Q2 2023,24,Saturday,6,1,0,H1 2023
20230618,2023-06-18,18,6,June,2023,2,Q2 2023,24,Sunday,7,1,0,H1 2023
20230619,2023-06-19,19,6,June,2023,2,Q2 2023,25,Monday,1,0,0,H1 2023
20230620,2023-06-20,20,6,June,2023,2,Q2 2023,25,Tuesday,2,0,0,H1 2023
20230621,2023-06-21,21,6,June,2023,2,Q2 2023,25,Wednesday,3,0,0,H1 2023
20230622,2023-06-22,22,6,June,2023,2,Q2 2023,25,Thursday,4,0,0,H1 2023
20230623,2023-06-23,23,6,June,2023,2,Q2 2023,25,Friday,5,0,0,H1 2023
20230624,2023-06-24,24,6,June,2023,2,Q2 2023,25,Saturday,6,1,0,H1 2023
20230625,2023-06-25,25,6,June,2023,2,Q2 2023,25,Sunday,7,1,0,H1 2023
