snapshot_id,account_id,customer_id,date_key,month_end_date,opening_balance,total_credits,total_debits,closing_balance,average_balance,is_low_balance_flag,month,year
1,1,49,20240930,2024-09-30,1343534.66,125343.81,289982.45,1178896.02,1261215.34,0,9,2024
2,2,55,20240930,2024-09-30,1161401.01,475769.95,584696.55,1052474.41,1106937.71,0,9,2024
3,3,24,20240930,2024-09-30,1342755.48,117266.42,416306.47,1043715.43,1193235.46,0,9,2024
4,4,57,20240930,2024-09-30,140082.86,96749.28,115067.55,121764.59,130923.72,0,9,2024
5,5,8,20240930,2024-09-30,657027.98,329711.13,684262.26,302476.85,479752.41,0,9,2024
6,6,34,20240930,2024-09-30,305213.73,283430.95,475448.17,113196.51,209205.12,0,9,2024
7,7,44,20240930,2024-09-30,1917338.51,84319.76,626948.96,1374709.31,1646023.91,0,9,2024
8,8,37,20240930,2024-09-30,1571427.39,356099.56,1235233.56,692293.39,1131860.39,0,9,2024
9,9,42,20240930,2024-09-30,553721.33,179743.0,498447.82,235016.51,394368.92,0,9,2024
10,10,10,20240930,2024-09-30,663460.12,239976.99,402352.92,501084.19,582272.16,0,9,2024
11,11,50,20240930,2024-09-30,1549646.54,243485.69,195151.31,1597980.92,1573813.73,0,9,2024
12,12,40,20240930,2024-09-30,1291280.43,40986.85,373855.43,958411.85,1124846.14,0,9,2024
13,13,29,20240930,2024-09-30,1652974.12,445648.52,412236.49,1686386.15,1669680.14,0,9,2024
14,14,12,20240930,2024-09-30,1467222.46,313309.44,1295204.07,485327.83,976275.15,0,9,2024
15,15,47,20240930,2024-09-30,1784264.32,424793.64,1395299.54,813758.42,1299011.37,0,9,2024
16,16,14,20240930,2024-09-30,1625378.48,289450.39,1472886.85,441942.02,1033660.25,0,9,2024
17,17,32,20240930,2024-09-30,425914.99,18328.15,115777.01,328466.13,377190.56,0,9,2024
18,18,39,20240930,2024-09-30,1788024.88,269838.56,1345653.65,712209.79,1250117.33,0,9,2024
19,19,28,20240930,2024-09-30,297691.65,196249.17,440317.39,53623.43,175657.54,0,9,2024
20,20,19,20240930,2024-09-30,1179406.71,428582.08,215279.56,1392709.23,1286057.97,0,9,2024
21,21,6,20240930,2024-09-30,1002495.78,45277.01,381248.43,666524.36,834510.07,0,9,2024
22,22,9,20240930,2024-09-30,21678.07,119440.4,136038.24,5080.23,13379.15,0,9,2024
23,23,4,20240930,2024-09-30,1963715.47,342080.83,1745962.96,559833.34,1261774.41,0,9,2024
24,24,1,20240930,2024-09-30,281171.2,79611.21,204331.74,156450.67,218810.93,0,9,2024
25,25,53,20240930,2024-09-30,1131842.16,436097.58,229231.31,1338708.43,1235275.29,0,9,2024
26,26,33,20240930,2024-09-30,1464142.95,469587.63,78161.05,1855569.53,1659856.24,0,9,2024
27,27,27,20240930,2024-09-30,1523064.02,115874.95,433265.18,1205673.79,1364368.91,0,9,2024
28,28,36,20240930,2024-09-30,468420.33,334292.8,415713.27,386999.86,427710.09,0,9,2024
29,29,38,20240930,2024-09-30,1583025.18,194046.55,1631177.6,145894.13,864459.66,0,9,2024
30,30,17,20240930,2024-09-30,1763163.19,19952.35,1156394.56,626720.98,1194942.08,0,9,2024
31,31,21,20240930,2024-09-30,206898.41,484220.7,437870.25,253248.86,230073.64,0,9,2024
32,32,59,20240930,2024-09-30,547353.88,370954.85,531362.3,386946.43,467150.16,0,9,2024
