holding_id,customer_id,product_id,acquisition_date,is_active,holding_value,annual_revenue_generated,date_key
1,4,14,2020-12-24,1,1468866.38,37986.96,20201224
2,5,4,2023-10-29,1,1450618.69,26534.03,20231029
3,13,4,2023-11-26,1,1140485.31,32717.77,20231126
4,36,12,2022-08-28,1,1532800.56,29757.93,20220828
5,44,8,2022-10-16,0,334451.83,3180.61,20221016
6,26,9,2021-10-14,1,1068267.05,21363.09,20211014
7,60,6,2021-07-14,1,1993703.78,52078.23,20210714
8,27,13,2022-10-30,1,647578.39,7135.06,20221030
9,35,4,2022-03-17,1,1852367.7,21028.5,20220317
10,29,8,2022-06-15,1,70291.14,851.37,20220615
11,2,9,2019-07-08,0,604381.47,7559.81,20190708
12,15,4,2021-07-13,1,1644057.9,36568.75,20210713
13,18,15,2023-09-26,1,1851918.98,16422.58,20230926
14,3,8,2021-12-27,1,530711.37,14456.91,20211227
15,16,4,2020-11-15,1,184718.34,2769.84,20201115
16,59,4,2018-11-13,1,1586015.48,14785.73,20181113
17,53,15,2019-01-26,1,601486.11,13996.42,20190126
18,37,7,2018-11-18,1,1843821.12,24632.97,20181118
19,57,14,2022-11-14,1,1735794.36,46423.23,20221114
20,15,12,2018-02-16,1,1264755.05,8035.24,20180216
21,34,1,2021-07-31,1,300010.46,5268.2,20210731
22,15,3,2018-07-26,1,1994737.24,58397.94,20180726
23,49,10,2023-08-30,1,864439.4,21316.39,20230830
24,10,3,2021-10-08,1,1143309.74,7126.0,20211008
25,26,5,2018-12-15,1,869547.73,19518.53,20181215
26,49,3,2023-05-24,1,976234.34,20799.85,20230524
27,13,9,2023-11-18,1,144216.32,3521.66,20231118
28,21,11,2019-01-02,1,827750.52,11697.51,20190102
29,13,6,2021-11-12,1,49389.45,623.32,20211112
30,23,10,2022-12-17,1,881486.38,24774.47,20221217
31,44,6,2019-10-01,1,1705675.53,13320.12,20191001
32,4,4,2019-08-28,0,1640447.78,8765.46,20190828
33,45,13,2019-04-01,1,942909.42,12537.79,20190401
34,48,9,2020-05-17,1,1047008.5,12005.47,20200517
35,31,10,2019-08-02,1,1336852.9,19270.96,20190802
36,58,11,2023-11-28,1,341468.97,4131.89,20231128
37,51,12,2021-01-16,1,1309860.99,6822.22,20210116
38,25,11,2021-01-16,1,1825824.69,25571.55,20210116
39,7,1,2021-04-13,0,1299172.88,14004.06,20210413
40,25,9,2019-02-12,0,969839.64,19326.63,20190212
41,6,3,2020-03-25,1,916514.54,25807.9,20200325
42,2,1,2020-10-10,0,610550.12,10530.96,20201010
43,48,3,2018-03-17,1,704474.25,14533.85,20180317
44,16,9,2021-02-03,1,1251958.94,33761.49,20210203
45,18,4,2019-09-14,1,786300.35,6629.7,20190914
46,47,7,2023-11-03,0,1225284.34,25287.56,20231103
47,15,7,2020-09-11,1,853503.53,10933.01,20200911
48,39,6,2023-01-14,1,414307.79,3506.87,20230114
49,35,11,2020-04-08,0,618687.79,13999.92,20200408
50,34,15,2019-07-08,1,1818095.19,44091.08,20190708
51,42,15,2019-10-10,1,1115123.26,32020.81,20191010
52,8,3,2021-07-24,1,291900.14,1674.66,20210724
53,21,15,2022-08-23,0,607392.86,14358.91,20220823
54,41,15,2021-01-26,1,376679.27,3122.16,20210126
55,2,13,2020-12-29,1,1225111.68,24390.77,20201229
56,15,11,2018-04-17,1,1376594.43,23285.17,20180417
57,33,14,2023-04-05,1,748544.84,19689.15,20230405
58,32,8,2019-07-18,1,453319.85,6897.14,20190718
59,1,15,2021-01-10,0,445885.87,9712.94,20210110
60,13,13,2020-04-17,1,1854279.31,54962.12,20200417
61,56,10,2023-06-30,1,1733683.04,47138.27,20230630
62,28,7,2018-06-21,1,1648832.7,37931.43,20180621
63,26,10,2023-11-22,1,1408520.99,8398.73,20231122
64,7,8,2023-02-15,1,85789.42,2564.75,20230215
65,34,9,2022-06-09,0,79463.99,1166.92,20220609
66,49,11,2018-07-21,1,879668.2,23847.75,20180721
67,50,14,2021-03-17,1,845501.9,17187.66,20210317
68,4,12,2023-10-19,0,927694.33,19623.09,20231019
69,6,12,2023-08-13,1,1557683.55,44309.96,20230813
70,45,9,2019-07-09,1,647598.4,3641.32,20190709
71,30,10,2020-04-07,0,181269.14,2374.96,20200407
72,46,13,2019-11-03,1,247964.89,1947.55,20191103
73,29,11,2022-01-26,1,1414850.96,32784.71,20220126
74,33,10,2019-10-17,1,761833.41,18441.33,20191017
75,59,6,2019-09-07,1,290070.14,7028.09,20190907
76,4,7,2021-06-15,1,1537492.21,24840.43,20210615
77,41,3,2019-04-27,0,1920907.33,9774.2,20190427
78,49,5,2018-02-20,1,1710966.7,31802.64,20180220
79,1,10,2023-07-15,1,1178135.79,19902.01,20230715
80,27,8,2018-11-22,1,14139.47,382.53,20181122
81,18,10,2020-04-30,1,297364.08,6343.35,20200430
82,3,3,2018-05-13,1,1676190.86,20887.08,20180513
83,59,2,2018-07-20,1,1987476.63,17953.63,20180720
84,19,10,2019-12-28,0,1498920.28,20991.95,20191228
85,3,2,2021-05-10,1,1795162.02,45788.51,20210510
86,49,7,2018-09-23,1,269957.03,6037.72,20180923
87,18,6,2023-11-29,1,420480.89,4299.95,20231129
88,4,2,2023-12-07,0,967842.3,21501.93,20231207
89,60,13,2021-03-22,1,1695748.14,19486.69,20210322
90,37,10,2021-12-20,0,1228965.67,21396.2,20211220
91,47,11,2023-08-01,1,360634.56,7297.49,20230801
92,46,5,2020-03-03,1,48949.61,1010.15,20200303
93,8,12,2020-04-29,1,1997975.03,30670.97,20200429
94,22,6,2020-05-19,1,403173.09,4854.47,20200519
95,51,2,2021-06-14,1,1100437.21,26603.97,20210614
96,8,11,2021-09-27,1,1449068.89,29560.76,20210927
97,2,14,2019-12-21,1,1667816.78,46793.93,20191221
98,31,15,2023-04-28,1,1291658.79,22006.49,20230428
99,41,8,2021-10-04,1,1628519.08,45915.69,20211004
100,34,5,2021-07-16,1,38418.14,746.65,20210716
101,22,13,2021-12-19,1,299460.51,7791.51,20211219
102,22,7,2023-12-29,1,1142392.3,16837.9,20231229
103,39,2,2021-06-16,1,629684.3,3646.32,20210616
104,27,2,2023-07-29,0,743795.57,19142.65,20230729
105,20,4,2023-11-21,1,225350.31,5548.94,20231121
106,50,4,2019-01-15,1,50844.61,867.74,20190115
107,33,3,2020-02-19,1,967460.41,25973.39,20200219
108,20,13,2021-09-02,1,1743726.17,44558.24,20210902
109,34,11,2019-06-28,1,74068.52,1088.04,20190628
110,56,9,2019-04-20,1,1864742.35,41353.1,20190420
111,39,14,2018-12-23,1,1778482.57,13476.58,20181223
112,50,11,2021-07-03,1,1517229.15,31818.22,20210703
113,14,6,2020-04-01,1,554022.43,7190.52,20200401
114,8,5,2019-09-04,1,229806.33,6654.61,20190904
115,36,9,2019-02-24,1,701285.96,9090.15,20190224
116,10,12,2021-03-06,1,343378.68,4389.9,20210306
117,58,6,2022-12-23,1,58956.38,1626.15,20221223
118,25,1,2018-12-19,1,358787.0,7140.95,20181219
119,38,11,2023-01-01,1,625568.86,15912.0,20230101
120,43,13,2023-12-26,1,1845645.2,44499.81,20231226
