transaction_id,transaction_ref,transaction_date,date_key,account_id,customer_id,transaction_type_id,channel_id,debit_credit_indicator,amount,fee_charged,gross_amount,transaction_status,balance_after_transaction,remarks,processing_attempt
1,TXN0000001,2023-04-13,20230413,49,25,9,3,Credit,4179.88,0.0,4179.88,Completed,254039.34,Online transfer,1
2,TXN0000002,2023-05-10,20230510,36,22,5,4,Debit,3225.56,0.0,3225.56,Completed,957949.7,ATM cash,1
3,TXN0000003,2024-05-04,20240504,4,57,5,6,Debit,659.03,0.0,659.03,Completed,304302.29,Mutual fund SIP,2
4,TXN0000004,2024-03-02,20240302,6,34,4,1,Debit,3070.96,0.0,3070.96,Completed,885999.29,Mutual fund SIP,2
5,TXN0000005,2024-09-16,20240916,20,19,10,3,Debit,4804.53,0.0,4804.53,Completed,163293.74,EMI payment,1
6,TXN0000006,2024-02-23,20240223,36,22,2,1,Debit,2307.47,3.26,2310.73,Completed,908608.62,EMI payment,2
7,TXN0000007,2023-07-22,20230722,51,45,10,4,Debit,341435.63,0.0,341435.63,Completed,143748.26,Salary,2
8,TXN0000008,2024-03-25,20240325,39,2,10,6,Debit,364880.16,0.0,364880.16,Completed,988096.64,Bill payment,3
9,TXN0000009,2024-09-10,20240910,3,24,7,4,Debit,9109.71,0.0,9109.71,Completed,1901621.77,Merchant txn,3
10,TXN0000010,2024-10-29,20241029,3,24,3,3,Debit,2266.92,3.69,2270.61,Failed,940550.78,Groceries,2
11,TXN0000011,2023-12-04,20231204,21,6,2,6,Debit,2117.06,3.22,2120.2799999999997,Completed,177031.53,Merchant txn,2
12,TXN0000012,2023-01-02,20230102,8,37,7,6,Debit,3322.54,0.0,3322.54,Completed,1513129.86,Utility bill,1
13,TXN0000013,2023-10-22,20231022,14,12,5,3,Debit,104641.74,0.0,104641.74,Completed,479355.63,Salary,2
14,TXN0000014,2023-04-06,20230406,36,22,1,3,Debit,101057.5,130.91,101188.41,Completed,1865373.47,Merchant txn,3
15,TXN0000015,2024-05-09,20240509,46,15,5,2,Debit,4903.2,0.0,4903.2,Completed,1016973.54,Salary,1
16,TXN0000016,2024-06-03,20240603,18,39,7,2,Debit,5115.44,0.0,5115.44,Completed,1320221.57,Salary,2
17,TXN0000017,2024-07-19,20240719,35,54,8,2,Credit,21974.45,0.0,21974.45,Pending,478372.28,Groceries,1
18,TXN0000018,2024-04-29,20240429,55,16,7,1,Debit,41513.4,0.0,41513.4,Completed,1961655.46,Utility bill,1
19,TXN0000019,2023-12-06,20231206,9,42,9,6,Credit,4361.53,0.0,4361.53,Completed,1445165.21,Groceries,3
20,TXN0000020,2023-09-29,20230929,10,10,2,3,Debit,36171.71,61.66,36233.37,Completed,760638.79,ATM cash,3
21,TXN0000021,2023-02-06,20230206,46,15,8,6,Credit,3125.55,0.0,3125.55,Completed,181668.28,Bill payment,3
22,TXN0000022,2024-12-11,20241211,46,15,2,2,Debit,1567.38,1.12,1568.5,Completed,489150.67,Groceries,3
